Status	Name	UserID	ProfileURL	Score
OK	Jori Harrison	CWT4iMAAAAAJ	https://scholar.google.com/citations?hl=en&user=CWT4iMAAAAAJ	1
NONE	Jacob Imbery			
NONE	Vanessa Thompson			
NONE	Sarah Trilesky			
NONE	Katie Gregg			
NONE	Sherry Wabisca			
NONE	Justine Aman			
NONE	Mohamed Kharbouch			
OK	Justin Jia	PLiQF5oAAAAJ	https://scholar.google.com/citations?user=PLiQF5oAAAAJ&hl=en	1
ok	Liz Renouf	_bSRxzAAAAAJ	https://scholar.google.com/citations?user=_bSRxzAAAAAJ&hl=en&oi=ao	0.26
